Shape	Count
Blimp	93
Blimp,	24
Boomerang	82
Boomerang,	72
Bullet,	136
Chevron	68
Chevron,	15
Cigar	239
Cigar,	132
Circle	659
Circle,	332
Cone	65
Cone,	24
Cross	9
Cross,	8
Cylinder	354
Cylinder,	116
Diamond	137
Diamond,	58
Disc	1102
Disc,	344
Dumbbell	6
Egg	105
Egg,	41
Fireball	142
Fireball,	81
Flash	26
Flash,	70
Missile	78
Missile,	58
N,	256
Other	959
Other,	125
Oval	515
Oval,	157
Rectagular	41
Rectagular,	40
Rectangular	172
Saturn-like	138
Saturn-like,	38
Sphere	1331
Sphere,	232
Square,	253
Star-like	351
Star-like,	107
Teardrop	93
Teardrop,	16
Triangle	430
Triangle,	36
Unknown	848